Column1.1,Column1.2,Column1.3,Column1.4,Column1.5
6024, Joint Pain Health Care Professionals, Professionals reading industry news and researching products and services for join pain.,27-03-2017 16:36,23-05-2018 16:19
6029, Indoor Cycling & Spinning Enthusiasts, Consumers purchasing at-home machines or visiting indoor cycling gyms. These consumers are more likely to buy gym memberships and cycling products.,27-03-2017 16:36,16-01-2019 09:11
6030, Spa and Pool Owners, Consumers purchasing products to maintain their home spa or pool.,27-03-2017 16:36,26-08-2019 11:24
6034, Backyard Farmers, People researching techniques and products for a backyard farm. These consumers are more likely to purchase farming and landscape products.,27-03-2017 16:36,07-12-2017 12:35
6045, Engagement Ring Shoppers, Consumers comparing or purchasing an engagement ring.,27-03-2017 16:36,07-12-2017 12:35
6047, Readers of Tamil Content, People reading news from Tamil media sources.,27-03-2017 16:36,23-05-2018 16:19
6048, Readers of Telugu Content, People reading news from Telug media sources.,27-03-2017 16:36,21-08-2018 17:15
6049, Readers of Portuguese Content, People reading news from Portuguese media sources.,27-03-2017 16:36,23-05-2018 16:19
6050, Readers of Malayalam Content, People reading news from Malayalam media sources.,27-03-2017 16:36,23-05-2018 16:19
6051, Readers of Italian Content, People reading news from Italian media sources.,27-03-2017 16:36,23-05-2018 16:19
6062, Italian Chain Restaurant Eaters, Consumers visiting sites of chain restaurants that serve Italian food. These consumers are more likely to spend money on eating out.,27-03-2017 16:59,27-12-2017 12:31
6064, Solar Energy Solution Shoppers, Consumers comparing and shopping for solar energy products and services. These consumers are more likely to spend money on energy efficient products.,27-03-2017 16:59,27-12-2017 12:31
6065, Solar Energy Researchers, Consumers researching products and services to use solar energy.,27-03-2017 16:59,07-12-2017 12:35
6067, Coffee Lovers, Consumers researching coffee companies and purchasing coffee beans. These consumers are more likely to purchase coffee online and visit coffeehouses.,27-03-2017 16:59,07-12-2017 12:35
6076, Horse Owners, Consumers researching equine health care.,27-03-2017 16:59,23-05-2018 11:30
6077, Horse Race Enthusiasts, Consumers reading horse racing news and trends.,27-03-2017 16:59,16-01-2019 09:11
6081, Hawaii Trip Planners, People researching attractions and accommodations in Hawaii. These consumers are more likely to spend money on travel and local attractions.,27-03-2017 16:59,27-12-2017 12:31
6084, Media Buying Professionals, Professionals reading advertising industry news and media buying trends.,27-03-2017 16:59,23-05-2018 11:30
6085, Discount Womens Shoes Shoppers, Consumers shopping for discounts and bargains on womens shoes.,27-03-2017 16:59,07-12-2017 12:35
6087, Metal and Rock Music Fans, People researching news and viewing online content focused on metal and rock music.,27-03-2017 16:59,27-12-2017 12:31
6088, Whiskey Lovers, Consumers researching whiskey and purchasing alcohol online. These consumers are more likely to purchase whiskey and visit distilleries.,27-03-2017 16:59,07-12-2017 12:35
6089, Mens Fitness Publication Readers, People reading digital content on mens fitness.,27-03-2017 16:59,27-12-2017 12:31
6095, Nursing Students, People researching academic programs and resources for nursing.,27-03-2017 16:59,27-12-2017 12:31
6098, Dental Hygiene Students, People researching academic programs and resources for dental hygiene.,27-03-2017 16:59,27-12-2017 12:31
6106, Luxury Second Home Owners, High income individuals with more than one home.,27-03-2017 16:59,23-05-2018 11:30
6107, Ski House Second Home Owners, People who own a second home in a ski town. These consumers are more likely to spend money on winter activities and ski gear.,27-03-2017 16:59,07-12-2017 12:35
6108, Beach House Second Home Owners, People who own a second home in a beach town. These consumers are more likely to spend money on summer activities and beach gear.,27-03-2017 16:59,07-12-2017 12:35
6110, Apartment Furniture Shoppers, Consumers in-market for apartment furniture.,27-03-2017 16:59,23-05-2018 11:30
6111, Wine Lovers, Consumers researching wine and purchasing alcohol online. These consumers are more likely to purchase wine and visit vineyards.,27-03-2017 16:59,07-12-2017 12:35
6112, Olympic Sports Enthusiasts, People researching and reading content about sports featured in the Olympics.,27-03-2017 16:59,27-12-2017 12:31
6115, Rugby Fans, People reading about rugby news and watching games. These consumers are more likely to spend money on team gear and rugby equipment.,27-03-2017 16:59,27-12-2017 12:31
6120, Readers of Puerto Rican Content, People reading news from Puerto Rican media sources.,27-03-2017 16:59,23-05-2018 16:19
6122, Readers of Cuban Content, People reading news from Cuban media sources.,27-03-2017 16:59,23-05-2018 16:19
6123, Misc-Deal Seekers or Coupon Shoppers, Consumers researching deals and shopping with coupons.,27-03-2017 16:59,23-05-2018 11:30
6124, Cloud Storage Provider Researchers, Consumers researching and comparing cloud storage providers.,27-03-2017 16:59,23-05-2018 11:30
6127, LED Lighting Shoppers, Consumers shopping for LED light bulbs and lighting fixtures.,27-03-2017 16:59,27-12-2017 12:31
6128, Realtors & Real Estate Researchers, Consumers and professionals researching the newest real estate listings.,27-03-2017 16:59,07-12-2017 12:35
6131, Movie and Game Review Readers, People reading reviews of movies and games. These consumers are more likely to spend money at movie theaters or video game stores.,27-03-2017 16:59,27-12-2017 12:31
6133, Fantasy Football Enthusiasts, Consumers who read online publications about Fantasy Football.,27-03-2017 16:59,23-05-2018 11:30
6134, Dentists, Professionals reading industry news and researching products and services for dentistry.,27-03-2017 16:59,27-12-2017 12:31
6138, Open Source Developers, Professionals reading industry news about open source developer products and resources.,27-03-2017 16:59,27-12-2017 12:31
6141, Entrepreneurs, Professionals reading industry news and researching products and services for starting a business.,27-03-2017 16:59,27-12-2017 12:31
6142, European Trip Planners, People researching attractions and accommodations in Europe. These consumers are more likely to spend money on travel and guided tours.,27-03-2017 16:59,27-12-2017 12:31
6143, College Football Fans, People reading news about college football and watching games. These consumers are more likely to spend money on team gear.,27-03-2017 16:59,27-12-2017 12:31
6144, North Carolina Football Fans, People reading news about North Carolina football and watching games. These consumers are more likely to spend money on team gear.,27-03-2017 16:59,27-12-2017 12:31
6145, Fast Food Lovers, Consumers visiting sites and comparing fast food restaurants. These consumers are more likely to spend money on eating out.,27-03-2017 16:59,27-12-2017 12:31
6148, Kosher Recipe Researchers, People researching kosher recipes. These consumers are more likely to spend money at specialty food stores.,27-03-2017 16:59,27-12-2017 12:31
6149, Readers of Jewish News, People reading news about the Jewish faith.,27-03-2017 16:59,07-12-2018 11:59
6151, Wedding Registrants, Consumers creating wedding registries.,27-03-2017 16:59,23-05-2018 11:30
6156, Ancestry Researchers, People researching products and services to investigate their ancestry.,27-03-2017 16:59,27-12-2017 12:31
6159, United Arab Emirates Trip Planners," People researching attractions and accommodations in the UAE. These consumers are more likely to spend money on flights, hotels, and local attractions.",27-03-2017 16:59,07-12-2017 12:35
6160, Eyeglasses Shoppers, Consumers shopping for eyeglasses. These consumers are more likely to spend money on eyeglasses sold online.,27-03-2017 16:59,07-12-2017 12:35
6162, Healthy Snacks Shoppers, Consumers shopping for healthy snacks and ingredients. These consumers are more likely to spend money at specialty food stores.,27-03-2017 16:59,27-12-2017 12:31
6164, Microsoft Friendly Developers, Professional developers reading industry news on Microsoft products.,27-03-2017 16:59,23-05-2018 11:30
6168, Christmas Enthusiasts, People researching holiday traditions and visiting sites related to Christmas.,27-03-2017 16:59,23-05-2018 16:19
6169, Videographers, Professionals reading industry news and researching products and services for videography.,27-03-2017 16:59,27-12-2017 12:31
6171, High-End Camera Shoppers, Consumers purchasing high end cameras and accessories.,27-03-2017 16:59,23-05-2018 16:19
6172, Camera Review Readers, Consumers reading reviews for camera equipment.,27-03-2017 16:59,23-05-2018 11:30
6173, Camera Shoppers, Consumers researching and comparing cameras. These consumers are more likely to spend money on cameras and photography equipment.,27-03-2017 16:59,27-12-2017 12:31
6174, Photography Enthusiasts, People researching trends and resources for photography. These consumers are more likely to spend money on cameras and photography equipment.,27-03-2017 16:59,27-12-2017 12:31
6177, Mens Shaving Products Shoppers, Consumers comparing or purchasing shaving products for men.,27-03-2017 16:59,07-12-2017 12:35
6181, Cybersecurity Researchers, People researching cybersecurity news and products.,27-03-2017 16:59,08-05-2018 09:01
6182, Finance Continuing Education Researchers, Professionals researching and comparing continuing education programs and resources for finance.,27-03-2017 16:59,27-12-2017 12:31
6183, Accounting & CPA Continuing Education Researchers, Professionals researching and comparing continuing education programs and resources for accounting.,27-03-2017 16:59,27-12-2017 12:31
6184, Reusable Drinkware Shoppers, Consumers comparing and shopping for reusable water bottles. These consumers are more likely to spend money on sustainable products.,27-03-2017 16:59,27-12-2017 12:31
6188, High End TV Shoppers, Consumers comparing or purchasing high end televisions and accessories.,27-03-2017 16:59,07-12-2017 12:35
6189, Texas Energy Providers, Consumers shopping for energy providers in Texas.,27-03-2017 16:59,23-05-2018 11:30
6194, Readers of Greek Content, People reading news from Greek media sources.,27-03-2017 16:59,23-05-2018 16:19
6206, Preppy Clothing Shoppers, Consumers shopping for clothing and accessories from brands with preppy styles.,27-03-2017 16:59,12-09-2018 18:31
6207, Anesthesiologists, Professionals reading industry news and researching products and services for anesthesiology.,27-03-2017 16:59,27-12-2017 12:31
6208, Recently Retired Individuals, People coordinating and researching retirement activities and lifestyle.,27-03-2017 16:59,23-05-2018 11:30
6209, Study Abroad Researchers, Students researching programs to study and live outside of the US.,27-03-2017 16:59,23-05-2018 11:30
6210, College Aspirants, People researching and applying to colleges and universities.,27-03-2017 16:59,23-05-2018 11:30
6211, Charitable Organization Researchers, People researching charitable organizations for donate or volunteer opportunities.,27-03-2017 16:59,23-05-2018 11:30
6212, Online Daters, People who frequent online dating websites.,27-03-2017 16:59,23-05-2018 11:30
6214, Home Remodelers, People researching techniques and resources for home remodels.,27-03-2017 16:59,23-05-2018 11:30
6215, Roommate Seekers, People active on roommate finder sites.,27-03-2017 16:59,23-05-2018 11:30
6216, Car Buyers, Consumers shopping for cars and researching deals.,27-03-2017 16:59,23-05-2018 11:30
6217, Weight Loss Researchers, Consumers researching weight loss methods.,27-03-2017 16:59,23-05-2018 11:30
6218, Running Enthusiasts, Consumers who read online publications about running.,27-03-2017 16:59,16-01-2019 09:11
6219, Cycling Enthusiasts, Consumers who read online publications about cycling.,27-03-2017 16:59,16-01-2019 09:11
6220, Eyeglasses & Contact Lens Buyers, Consumers shopping online for eyeglasses and contact lenses.,27-03-2017 16:59,23-05-2018 11:30
6221, RC Helicopters and Drones Hobbyists, People researching drone techniques and shopping for equipment.,27-03-2017 16:59,23-05-2018 11:30
6222, Musical Instrument Purchasers, Consumers shopping for musical instruments and accessories.,27-03-2017 16:59,23-05-2018 11:30
6223, Language Learners, People using sites and online resources to learn a new language.,27-03-2017 16:59,23-05-2018 11:30
6224, Tattoo Fans, People researching tattoo culture and new tattoo trends.,27-03-2017 16:59,23-05-2018 11:30
6225, Piercing Fans, People researching piercing culture and new piercing trends.,27-03-2017 16:59,23-05-2018 11:30
6226, Divorcees, People researching resources for divorced parents.,27-03-2017 16:59,23-05-2018 11:30
6227, Personal Stock Portfolio Managers, Consumers actively managing their personal investments.,27-03-2017 16:59,23-05-2018 11:30
6228, Paleo Eaters, Consumers researching living a Paleo lifestyle and recipes.,27-03-2017 16:59,23-05-2018 11:30
6229, Sweet Tooths, Consumers shopping for candy and researching recipes.,27-03-2017 16:59,23-05-2018 11:30
6230, Vegans, Consumers researching living a vegan lifestyle and recipes.,27-03-2017 16:59,23-05-2018 11:30
6231, Sleep Researchers, People researching sleep disorders.,27-03-2017 16:59,23-05-2018 11:30
6232, Golf Enthusiasts, Consumers who read online publications about golf.,27-03-2017 16:59,16-01-2019 09:11
6234, Yachting Enthusiasts, People reading yachting news and destinations.,27-03-2017 16:59,23-05-2018 11:30
6235, Sailing Enthusiasts, People reading sailing news and destinations.,27-03-2017 16:59,23-05-2018 11:30
6236, PokemonGo Fans, People reading gaming news and techniques for playing PokemonGo.,27-03-2017 16:59,23-05-2018 11:30
6237, Non-Profit Volunteers, People who visit non-profit volunteer websites.,27-03-2017 16:59,23-05-2018 11:30
6250, Tennis Players, People researching tennis techniques and equipment.,27-03-2017 16:59,16-01-2019 09:11
6253, Medicare Researchers, People reading Medicare news and benefits.,27-03-2017 16:59,23-05-2018 11:30
6255, Environmental Activists, People reading news and trends on environmental activism. These consumers are more likely to spend money with environmental charities.,27-03-2017 16:59,27-12-2017 12:31
6257, Masters in Management Researchers, People researching masters in management programs.,27-03-2017 16:59,08-05-2018 09:06
6259, Word Game Enthusiasts, People playing word games online.,27-03-2017 16:59,23-05-2018 11:30
6260, Blockbuster Movie Fans, Consumers reading reviews of major movie releases.,27-03-2017 16:59,23-05-2018 11:30
6263, Physicians, Professionals reading industry news and researching products and services for physicians.,31-03-2017 17:37,27-12-2017 12:31
6264, Gastroenterologists, Professionals reading medical journals and online resources related to gastroenterology.,31-03-2017 17:38,23-05-2018 11:30
6265, Pharmacists, Professionals reading industry news and researching products and services for pharmacists.,31-03-2017 17:38,27-12-2017 12:31
6266, Respirologists and Pulmonologists, Professionals reading industry news and researching products and services for respirologists and pulmonologists.,31-03-2017 17:39,27-12-2017 12:31
6267, Pediatricians, Professionals reading industry news and researching products and services for pediatricians.,31-03-2017 17:39,27-12-2017 12:31
6277, Harry Potter Fans, People reading news and content related to the Harry Potter series.,06-04-2017 17:34,27-12-2017 12:31
6278, Junk Food Lovers, Consumers researching new flavors of well-known junk foods.,10-04-2017 11:26,23-05-2018 11:30
6284, Gym Equipment Owners, People researching and comparing fitness trends and techniques. These consumers are more likely to spend money on gym equipment for their homes.,18-04-2017 15:46,27-12-2017 12:31
6285, Competitive Tri-Athletes, People researching and comparing triathlons. These consumers are more likely to spend money on fitness training and equipment.,18-04-2017 15:46,16-01-2019 09:11
6286, Luxury Hotel Guests, High income individuals researching and booking hotel rooms.,18-04-2017 15:46,23-05-2018 11:30
6298, Readers of Russian Content, People reading news from Russian media sources.,03-05-2017 10:00,23-05-2018 16:19
6299, Readers of Bengali Content, People reading news from Bengali media sources.,03-05-2017 10:00,23-05-2018 16:19
6300, Washington DC Trip Planners," People researching attractions and accommodations in Washington DC. These consumers are more likely to spend money on flights, hotels, and local attractions.",03-05-2017 10:00,07-12-2017 12:35
6301, Chicago Trip Planners," People researching attractions and accommodations in Chicago. These consumers are more likely to spend money on flights, hotels, and local attractions.",03-05-2017 10:00,07-12-2017 12:35
6302, Los Angeles Trip Planners, Consumers in-market for Los Angeles trips and vacations.,03-05-2017 10:00,23-05-2018 11:30
6303, Atlanta Trip Planners," People researching attractions and accommodations in Atlanta. These consumers are more likely to spend money on flights, hotels, and local attractions.",03-05-2017 10:00,07-12-2017 12:35
6304, New York Trip Planners, Consumers in-market for New York City trips and vacations.,03-05-2017 10:00,23-05-2018 11:30
6305, Identity Theft Protection Researchers, People researching and comparing products and services for identity theft protection.,03-05-2017 10:00,27-12-2017 12:31
6306, Newly Recruited Military Personnel, Professionals reading industry news and researching products and services as newly recruited military personnel.,03-05-2017 17:22,27-12-2017 12:31
6308, Food Safety Decision Makers, Professionals reading industry news and researching products and services for food safety.,04-05-2017 11:02,27-12-2017 12:31
6314, Online Directory Searchers, Consumers using online directories.,10-05-2017 11:37,23-05-2018 11:30
6315, Boston Trip Planners, Consumers in-market for Boston trips and vacations.,10-05-2017 16:11,23-05-2018 11:30
6316, Philadelphia Trip Planners," People researching attractions and accommodations in Philadelphia. These consumers are more likely to spend money on flights, hotels, and local attractions.",10-05-2017 16:13,07-12-2017 12:35
6317, Houston Trip Planners, Consumers in-market for Houston trips and vacations.,10-05-2017 16:13,23-05-2018 11:30
6318, Phoenix Trip Planners," People researching attractions and accommodations in Phoenix. These consumers are more likely to spend money on flights, hotels, and local attractions.",10-05-2017 16:13,07-12-2017 12:35
6319, San Francisco Trip Planners, Consumers in-market for San Francisco trips and vacations.,10-05-2017 16:13,23-05-2018 11:30
6320, Miami Trip Planners," People researching attractions and accommodations in Miami. These consumers are more likely to spend money on flights, hotels, and local attractions.",10-05-2017 16:13,07-12-2017 12:35
6321, Nashville Trip Planners," People researching attractions and accommodations in Nashville. These consumers are more likely to spend money on flights, hotels, and local attractions.",10-05-2017 16:13,07-12-2017 12:35
6322, Seattle Trip Planners, Consumers in-market for Seattle trips and vacations.,10-05-2017 16:13,23-05-2018 11:30
6323, New Orleans Trip Planners," People researching attractions and accommodations in New Orleans. These consumers are more likely to spend money on flights, hotels, and local attractions.",10-05-2017 16:13,07-12-2017 12:35
6324, Las Vegas Trip Planners," People researching attractions and accommodations in Las Vegas. These consumers are more likely to spend money on flights, hotels, and local attractions.",10-05-2017 16:13,07-12-2017 12:35
6325, Orlando Trip Planners," People researching attractions and accommodations in Orlando. These consumers are more likely to spend money on flights, hotels, and local attractions.",10-05-2017 16:13,07-12-2017 12:35
6328, Mattress Researchers, ,15-05-2017 13:03,15-05-2017 13:03
6329, Mattress Shoppers, Consumers considering purchasing a mattress.,15-05-2017 13:04,23-05-2018 11:30
6330, Pet Store Goers, ,15-05-2017 13:04,15-05-2017 13:04
6331, Price Conscious Grocery Shoppers, Consumers seeking good deals on groceries.,15-05-2017 13:04,23-05-2018 11:30
6332, Tire Researchers, ,15-05-2017 13:04,15-05-2017 13:04
6333, Crafting Enthusiasts, People looking for crafting inspiration and purchasing equipment.,15-05-2017 13:04,23-05-2018 11:30
6334, Supermarket Shoppers, Consumers shopping for groceries at major supermarkets.,15-05-2017 13:04,23-05-2018 11:30
6335, Outdoors Enthusiasts, People reading outdoor activities news and destinations.,15-05-2017 13:04,23-05-2018 11:30
6336, Mid-Range Grocery Shoppers, Consumers shopping for groceries at mid-range grocery stores.,15-05-2017 13:04,23-05-2018 11:30
6337, Diner and Ice Cream Lovers, Consumers who often frequent diners and ice cream shops.,15-05-2017 13:04,23-05-2018 11:30
6339, Eyeglasses Wearers, ,15-05-2017 13:04,15-05-2017 13:04
6340, Kitchen and Home Goods Shoppers, Consumers comparing or purchasing home and kitchen decor and furniture.,15-05-2017 13:04,07-12-2017 12:35
6341, Pharmacy Shoppers, Consumers researching and purchasing pharmaceuticals online.,15-05-2017 13:04,23-05-2018 11:30
6343, Patio Furniture Shoppers, Consumers comparing or purchasing patio furniture.,15-05-2017 13:04,07-12-2017 12:35
6344, Hair Care Shoppers, Consumers researching trends and purchasing hair and beauty products.,15-05-2017 13:04,31-05-2018 22:11
6345, Senior Caregivers, Professionals reading healthcare industry news focused on senior citizens.,15-05-2017 13:04,23-05-2018 11:30
6363, Readers of Caribbean Content, People reading news from Caribbean media sources.,23-05-2017 16:28,23-05-2018 16:19
6364, Pizza Lovers, ,23-05-2017 18:19,23-05-2017 18:19
6365, Executive and C-Suite, People identified as holding executive positions as companies .,23-05-2017 18:19,07-09-2018 08:06
6366, Rideshare App Users, People that regularly use rideshare apps for travel,23-05-2017 18:19,20-08-2019 11:34
6367, Cable TV Shoppers, Consumers researching cable TV packages.,23-05-2017 18:19,23-05-2018 11:30
6378, Luggage Shoppers, Consumers in-market for new luggage.,31-05-2017 16:26,23-05-2018 11:30
6385, Motorcycle Purchasers, ,08-06-2017 12:21,08-06-2017 12:21
6386, Powerboat Purchasers, ,08-06-2017 12:21,08-06-2017 12:21
6387, Wireless Service Provider Researchers, ,08-06-2017 12:21,08-06-2017 12:21
6389, Oil Change Customers, ,08-06-2017 12:21,08-06-2017 12:21
6390, Pool and Spa Researchers, ,08-06-2017 12:21,07-09-2018 08:07
6391, HVAC Service Researchers, ,08-06-2017 12:21,08-06-2017 12:21
6393, Eye Health Researchers, People researching eye health and symptoms.,08-06-2017 12:21,23-05-2018 11:30
7425, Life Insurance Researchers, People researching and comparing life insurance policies. These consumers are more likely to spend money with insurance companies.,15-06-2017 17:44,27-12-2017 12:31
7453, Pilots, Professionals reading industry news and researching products and services for pilots.,27-06-2017 17:12,27-12-2017 12:31
7454, Farmers, Professionals reading industry news and researching products and services for farmers.,27-06-2017 17:12,27-12-2017 12:31
7461, Food Industry Professionals, Professionals reading industry news and researching products and services for food safety.,28-06-2017 13:17,23-05-2018 16:19
7464, Guitar Enthusiasts, People reading guitar news and shopping for new equipment.,29-06-2017 11:17,23-05-2018 11:30
7483, Economy Grocery Shoppers, ,06-07-2017 15:45,06-07-2017 15:45
7527, Democratic Donors, ,17-07-2017 17:24,17-07-2017 17:24
7529, Foreman and Construction Managers, Professionals reading foreman and construction industry news.,17-07-2017 17:25,23-05-2018 16:19
7534, Canada Trip Planners, People researching attractions and accommodations in Canada. These consumers are more likely to spend money on travel and local attractions.,18-07-2017 16:24,27-12-2017 12:31
7535, Medicare Provider Researchers, People researching Medicare providers and options.,18-07-2017 16:24,23-05-2018 11:30
7536, Medicare Price Shoppers, People comparing Medicare providers based on price.,18-07-2017 16:24,23-05-2018 11:30
7537, Ecommerce Platform Researchers, People comparing products and services of ecommerce platforms.,18-07-2017 16:24,23-05-2018 16:19
7540, North Carolina Travel Researchers, People researching attractions and accommodations in North Carolina.,19-07-2017 11:24,23-05-2018 11:30
7541, Alabama Trip Planners," People researching attractions and accommodations in Alabama. These consumers are more likely to spend money on flights, hotels, and local attractions.",19-07-2017 11:24,07-12-2017 12:35
7542, Georgia Trip Planners," People researching attractions and accommodations in Georgia. These consumers are more likely to spend money on flights, hotels, and local attractions.",19-07-2017 11:24,07-12-2017 12:35
7543, Louisiana Trip Planners," People researching attractions and accommodations in Louisiana. These consumers are more likely to spend money on flights, hotels, and local attractions.",19-07-2017 11:24,07-12-2017 12:35
7544, Texas Trip Planners," People researching attractions and accommodations in Texas. These consumers are more likely to spend money on flights, hotels, and local attractions.",19-07-2017 11:24,07-12-2017 12:35
7545, Florida Atlantic Coast Trip Planners," People researching attractions and accommodations in Florida. These consumers are more likely to spend money on flights, hotels, and local attractions.",19-07-2017 11:24,07-12-2017 12:35
7546, Florida Gulf Coast Travel Researchers, People researching attractions and accommodations in the Florida Gulf Coast area.,19-07-2017 11:24,23-05-2018 11:30
7557, Tailgaters, ,20-07-2017 17:31,16-01-2019 09:11
7597, Readers of Spanish Content, People reading news from Spanish media sources.,02-08-2017 11:30,23-05-2018 16:19
7598, Readers of South American Content, People reading news from South American media sources.,02-08-2017 11:30,23-05-2018 16:19
7605, Organic Food Buyers, ,07-08-2017 10:00,07-08-2017 10:00
7685, Home Healthcare Researchers, People researching and comparing products and services for home healthcare.,24-08-2017 15:42,27-12-2017 12:31
10007, Mobile Phone Purchase Intenders, Consumers in-market for a mobile phone.,12-09-2017 16:34,23-05-2018 11:30
10008, Japanese Luxury Car Enthusiasts, Consumers reading content about luxury cars from Japan.,12-09-2017 16:39,23-05-2018 11:30
10009, Investment Services Intenders, People researching and comparing investment service providers for personal investments.,12-09-2017 16:39,05-03-2018 11:41
10010, Satellite TV Buyers, Consumers in-market for satellite television.,12-09-2017 16:39,23-05-2018 11:30
10011, Big Box Shoppers, Consumers who shop at big box retailers.,12-09-2017 16:39,23-05-2018 11:30
10249, Loan Comparison Researchers, Consumers researching and comparing loan offerings from different financial institutions.,15-09-2017 16:53,07-12-2017 12:35
12032, Heart Health Researchers, People reading news and advice on preventing and treating heart health issues.,16-11-2017 14:20,27-12-2017 12:31
10250, Halloween Costume Shoppers, Consumers comparing and shopping for Halloween costumes. These consumers are more likely to spend money on costumes for themselves and their kids.,15-09-2017 16:53,27-12-2017 12:31
10251, Personal Bank Comparison Researchers, Consumers researching and comparing personal checking and saving account products from different banks.,18-09-2017 15:07,07-12-2017 12:35
10284, Alaskan Cruise Planners, People researching cruise accommodations for trips to Alaska. These consumers are more likely to spend money on travel and local attractions.,20-09-2017 11:40,27-12-2017 12:31
10326, IT News Readers, People reading industry news and product releases for information technology.,21-09-2017 16:35,27-12-2017 12:31
10351, Military Personal Finance Researchers, People researching personal finance while also demonstrating interest in military related content.,25-09-2017 16:08,23-05-2018 11:30
10364, Documentary Film Fans, People who love watching and reading about documentary films .,26-09-2017 18:05,23-05-2018 11:30
10365, Horror Movie Fans, People interested in watching and reading about horror films .,26-09-2017 18:05,23-05-2018 11:30
10366, Sci-Fi Movie Fans, People who love watching and reading articles about Sci-fi movies.,26-09-2017 18:05,23-05-2018 11:30
10832, Austin Trip Planners," People researching attractions and accommodations in Austin. These consumers are more likely to spend money on flights, hotels, and local attractions.",11-10-2017 11:16,07-12-2017 12:35
10833, Dallas Trip Planners," People researching attractions and accommodations in Dallas. These consumers are more likely to spend money on flights, hotels, and local attractions.",11-10-2017 11:16,07-12-2017 12:35
10834, Norfolk and Virginia Beach Trip Planners," People researching attractions and accommodations in Norfolk and Virginia. These consumers are more likely to spend money on flights, hotels, and local attractions.",11-10-2017 11:16,07-09-2018 08:07
10835, Long Beach California Trip Planners," People researching attractions and accommodations in Long Beach, California. These consumers are more likely to spend money on flights, hotels, and local attractions.",11-10-2017 11:16,07-12-2017 12:35
10836, Fort Lauderdale Trip Planners," People researching attractions and accommodations in Fort Lauderdale. These consumers are more likely to spend money on flights, hotels, and local attractions.",11-10-2017 11:16,07-12-2017 12:35
10837, Denver Trip Planners," People researching attractions and accommodations in Denver. These consumers are more likely to spend money on flights, hotels, and local attractions.",11-10-2017 11:16,07-12-2017 12:35
10838, Detroit Trip Planners," People researching attractions and accommodations in Detroit. These consumers are more likely to spend money on flights, hotels, and local attractions.",11-10-2017 11:16,07-12-2017 12:35
10839, Tampa and St Petersburg Trip Planners," People researching attractions and accommodations in Tampa and St Petersburg. These consumers are more likely to spend money on flights, hotels, and local attractions.",11-10-2017 11:16,07-09-2018 08:07
10869, Seattle Seahawks Fans, People reading news about the Seattle Seahawks and watching games. These consumers are more likely to spend money on team gear.,16-10-2017 10:18,27-12-2017 12:31
10870, Philadelphia Eagles Fans, People reading news about the Philadelphia Eagles and watching games. These consumers are more likely to spend money on team gear.,16-10-2017 10:18,27-12-2017 12:31
10871, Dallas Cowboys Fans, People reading news about the Dallas Cowboys and watching games. These consumers are more likely to spend money on team gear.,16-10-2017 10:18,27-12-2017 12:31
10872, Atlanta Falcons Fans, People reading news about the Atlanta Falcons and watching games. These consumers are more likely to spend money on team gear.,16-10-2017 10:18,27-12-2017 12:31
10953, Beard Care Shoppers, Consumers comparing and shopping for beard care products and services.,23-10-2017 12:32,27-12-2017 12:31
10954, Nintendo Enthusiasts, People who love visiting video game websites and reading about Nintendo.,23-10-2017 12:32,23-05-2018 11:30
10955, Pokemon Enthusiasts, People who love visiting video game websites and reading about Pokemon.,23-10-2017 12:32,23-05-2018 11:30
10970, Halloween Decorations Shoppers, Consumers in-market for Halloween decorations.,24-10-2017 10:16,23-05-2018 11:30
10971, Halloween Enthusiasts, People who visit Halloween related websites.,24-10-2017 10:16,23-05-2018 11:30
10972, Halloween Thrill Seekers, People researching Halloween related thrill venues and ideas.,24-10-2017 10:16,23-05-2018 11:30
10973, Family Halloween Party Planners, Consumers in-market for Halloween party supplies and content.,24-10-2017 10:16,23-05-2018 11:30
10974, Thanksgiving Entertaining Researchers, Consumers reading online about Thanksgiving entertaining ideas.,24-10-2017 10:16,23-05-2018 11:30
10975, Thanksgiving Meal Planners, People reading online about Thanksgiving meal ideas.,24-10-2017 10:16,23-05-2018 11:30
10976, Christmas Decorations Shoppers, Consumers in-market for Christmas decorations.,24-10-2017 10:16,23-05-2018 11:30
10977, Christmas Celebration Researchers, People reading online about Christmas celebration ideas.,24-10-2017 10:16,23-05-2018 11:30
10978, Family Christmas Celebration Researchers, People reading online about family focused Christmas celebration ideas.,24-10-2017 10:16,23-05-2018 11:30
10979, Hanukkah Celebration Planners, People researching online about Hanukkah Celebration ideas.,24-10-2017 10:16,23-05-2018 11:30
10980, Hanukkah Decorations Shoppers, Consumers in-market for Hanukkah decorations.,24-10-2017 10:16,23-05-2018 11:30
10981, New Years Eve Party Ticket Purchasers, Consumers in-market for New Years Eve party tickets.,24-10-2017 10:16,23-05-2018 11:30
10988, Santa Monica Trip Planners," People researching attractions and accommodations in Santa Monica. These consumers are more likely to spend money on flights, hotels, and local attractions.",25-10-2017 12:42,07-12-2017 12:35
11065, Authors, Professionals reading industry news and researching products and services for professional writing.,01-11-2017 10:42,27-12-2017 12:31
11066, Chain Pizzeria Fans, Consumers researching promotions and ordering pizza from online pizza chains.,01-11-2017 10:42,31-05-2018 22:11
